id,name,description,priority,target_market,complexity,status
CN001,Advanced Safety Systems,Comprehensive collision avoidance and protection,High,Premium,High,Active
CN002,Fuel Efficiency,Optimal fuel consumption for cost savings,High,Mass Market,Medium,Active
CN003,Connected Infotainment,Seamless smartphone integration and entertainment,Medium,All Markets,High,Active
CN004,Autonomous Driving,Self-driving capabilities for convenience,High,Premium,Very High,Development
CN005,Electric Range,Long-distance electric vehicle capability,High,Eco-Conscious,High,Active
CN006,Cargo Capacity,Maximum storage and hauling capability,High,Commercial,Low,Active
CN007,Comfort Features,Premium seating and climate control,Medium,Premium,Medium,Active
CN008,Affordability,Cost-effective transportation solution,High,Entry-Level,Low,Active
CN009,Performance Acceleration,High-performance engine and handling,Medium,Performance,High,Active
CN010,Reliability,Long-term durability and low maintenance,High,All Markets,Medium,Active
CN011,Environmental Impact,Minimal carbon footprint and emissions,High,Eco-Conscious,Medium,Active
CN012,Urban Maneuverability,Easy parking and city navigation,Medium,Urban,Medium,Active
CN013,Towing Capacity,Heavy-duty towing for work and recreation,High,Commercial,Medium,Active
CN014,Luxury Amenities,Premium materials and features,Medium,Premium,High,Active
CN015,Technology Integration,Advanced driver assistance systems,High,Tech-Savvy,High,Active
CN016,Weather Resistance,All-weather driving capability,Medium,Adventure,Medium,Active
CN017,Maintenance Simplicity,Easy and affordable maintenance,High,Mass Market,Low,Active
CN018,Brand Prestige,Status symbol and brand recognition,Low,Premium,Low,Active
CN019,Customization Options,Personalization and configuration choices,Medium,All Markets,Medium,Active
CN020,Safety Ratings,Top safety scores from regulatory bodies,High,Family,Medium,Active
