function_id,software_id,version,integration_date
F001,SW001,v2.1.3,2024-01-15
F002,SW002,v1.8.7,2024-02-01
F003,SW003,v3.0.1,2024-03-15
F004,SW004,v1.5.2,2024-01-20
F005,SW005,v2.3.0,2024-04-01
F006,SW006,v4.2.1,2024-02-15
F007,SW007,v1.2.0,2024-01-25
F008,SW008,v2.0.4,2024-02-20
F009,SW009,v1.1.5,2024-01-10
F010,SW010,v2.5.1,2024-03-01
F011,SW011,v1.3.2,2024-02-05
F012,SW012,v5.1.0,2024-03-20
F013,SW013,v1.9.2,2024-03-25
F014,SW014,v1.0.8,2024-01-05
F015,SW015,v1.4.0,2024-03-28
F016,SW016,v2.2.1,2024-03-12
F017,SW017,v1.7.3,2024-04-08
F018,SW018,v1.4.6,2024-02-22
F019,SW019,v2.8.0,2024-04-15
F020,SW020,v3.1.2,2024-03-28
F021,SW021,v1.2.4,2024-04-12
F022,SW022,v1.0.3,2024-01-08
F023,SW023,v2.5.0,2024-04-20
F024,SW024,v1.6.1,2024-03-30
F025,SW025,v1.3.8,2024-04-05
F026,SW026,v1.1.9,2024-02-15
F027,SW027,v1.0.7,2024-01-20
F028,SW028,v1.2.3,2024-02-28
F029,SW029,v2.0.6,2024-03-18
F030,SW030,v1.9.1,2024-04-02
F031,SW031,v4.2.8,2024-04-18
F032,SW032,v2.1.5,2024-03-22
F033,SW033,v3.0.7,2024-04-10
F034,SW034,v1.5.4,2024-03-15
F035,SW035,v1.8.2,2024-02-25
F036,SW036,v2.3.1,2024-04-08
F037,SW037,v1.4.3,2024-04-12
F038,SW038,v1.6.9,2024-03-20
F039,SW039,v2.2.4,2024-04-01
F040,SW040,v2.7.6,2024-04-15
F041,SW041,v1.1.2,2024-02-18
F042,SW042,v1.3.5,2024-03-08
F043,SW043,v1.0.9,2024-03-25
F044,SW044,v1.2.1,2024-02-12
F045,SW045,v2.0.3,2024-04-05
F046,SW046,v1.7.2,2024-03-18
F047,SW047,v1.4.7,2024-02-22
F048,SW048,v3.1.4,2024-04-20
F049,SW049,v1.8.6,2024-04-18
F050,SW050,v2.4.9,2024-04-12
F012,SW051,v1.9.7,2024-03-28
F006,SW052,v4.5.2,2024-04-22
F006,SW053,v1.0.4,2024-02-08
F008,SW054,v1.3.1,2024-03-05
F007,SW055,v1.1.8,2024-01-28
F029,SW056,v1.0.5,2024-01-15
F026,SW057,v1.2.6,2024-02-20
F022,SW058,v1.4.2,2024-03-10
F045,SW059,v1.0.1,2024-01-05
F008,SW060,v1.1.3,2024-01-25
