team_id,software_id,responsibility_level,start_date
T001,SW001,primary,2023-01-15
T001,SW002,primary,2023-02-01
T002,SW003,primary,2023-03-01
T009,SW004,primary,2023-01-20
T004,SW005,primary,2023-06-01
T003,SW006,primary,2023-02-15
T005,SW007,primary,2023-01-25
T006,SW008,primary,2023-02-20
T001,SW009,secondary,2023-01-10
T007,SW010,primary,2023-03-01
T005,SW011,primary,2023-02-05
T008,SW012,primary,2023-03-20
T007,SW013,primary,2023-03-25
T010,SW014,secondary,2023-01-05
T008,SW015,primary,2023-03-28
T011,SW016,primary,2023-02-10
T012,SW017,primary,2023-03-15
T012,SW018,primary,2023-02-25
T013,SW019,primary,2023-04-01
T013,SW020,primary,2023-03-20
T014,SW021,primary,2023-04-10
T009,SW022,secondary,2023-01-08
T011,SW023,primary,2023-04-15
T014,SW024,primary,2023-03-25
T015,SW025,primary,2023-04-01
T016,SW026,primary,2023-02-12
T016,SW027,primary,2023-01-18
T017,SW028,primary,2023-02-25
T018,SW029,primary,2023-03-15
T019,SW030,primary,2023-04-01
T020,SW031,primary,2023-04-15
T021,SW032,primary,2023-03-20
T022,SW033,primary,2023-04-08
T023,SW034,primary,2023-03-12
T024,SW035,primary,2023-02-22
T025,SW036,primary,2023-04-05
T026,SW037,primary,2023-04-08
T027,SW038,primary,2023-03-18
T028,SW039,primary,2023-03-28
T029,SW040,primary,2023-04-12
T029,SW041,secondary,2023-02-15
T030,SW042,primary,2023-03-05
T031,SW043,primary,2023-03-22
T030,SW044,secondary,2023-02-08
T032,SW045,primary,2023-04-01
T032,SW046,primary,2023-03-15
T033,SW047,primary,2023-02-18
T034,SW048,primary,2023-04-18
T035,SW049,primary,2023-04-15
T036,SW050,primary,2023-04-08
T037,SW051,primary,2023-03-25
T038,SW052,primary,2023-04-20
T039,SW053,primary,2023-02-05
T040,SW054,primary,2023-03-01
T041,SW055,primary,2023-01-25
T042,SW056,primary,2023-01-12
T043,SW057,primary,2023-02-18
T044,SW058,primary,2023-03-08
T045,SW059,primary,2023-01-01
T046,SW060,primary,2023-01-22
T020,SW061,secondary,2023-04-10
T023,SW062,secondary,2023-03-08
T020,SW063,secondary,2023-04-12
T024,SW064,secondary,2023-02-28
T020,SW065,secondary,2023-04-05
T024,SW066,secondary,2023-02-20
T021,SW067,secondary,2023-03-15
T029,SW068,secondary,2023-03-25
T020,SW069,secondary,2023-04-08
T020,SW070,secondary,2023-04-02
