id,model_name,segment,target_market,launch_year,platform,price_range,production_volume,region,status
VM001,Model S Elite,Luxury,Premium,2024,Platform A,80000-120000,50000,North America,Active
VM002,EcoHatch Pro,Compact,Mass Market,2023,Platform B,25000-35000,150000,Europe,Active
VM003,Titan Truck,Full-Size Truck,Commercial,2024,Platform C,45000-75000,80000,North America,Active
VM004,City Runner,Subcompact,Urban,2023,Platform D,18000-25000,200000,Asia,Active
VM005,Luxury Cruiser,Luxury SUV,Premium,2024,Platform A,90000-140000,35000,Global,Active
VM006,Sport Coupe X,Sports Car,Performance,2025,Platform E,60000-95000,15000,Europe,Development
VM007,Family Wagon,Mid-Size SUV,Family,2023,Platform B,35000-50000,120000,North America,Active
VM008,Electric Vision,Electric Sedan,Eco-Conscious,2024,Platform F,40000-60000,75000,Global,Active
VM009,Commercial Van Pro,Commercial Van,Business,2023,Platform C,35000-55000,45000,Europe,Active
VM010,Hybrid Crossover,Crossover,Mass Market,2024,Platform B,30000-45000,100000,Global,Active
VM011,Performance SUV,Performance SUV,Premium,2025,Platform A,70000-110000,25000,North America,Development
VM012,Budget Sedan,Compact Sedan,Entry-Level,2023,Platform D,15000-22000,180000,Asia,Active
VM013,Off-Road Explorer,Off-Road SUV,Adventure,2024,Platform C,50000-80000,40000,Global,Active
VM014,Executive Sedan,Executive Car,Business,2024,Platform A,65000-95000,30000,Europe,Active
VM015,Micro City Car,Micro Car,Urban,2023,Platform G,12000-18000,85000,Europe,Active
